Company,EntryDate,COmpleteDate,Task Owner 
Strosin-Jacobs,10/3/2019,2019-10-23 00:00:00,Helen Thomas
Braun Group,5/8/2019,2019-12-06 00:00:00,Mildred Mcwhite
Smith-Lind,5/16/2019,2019-05-26 00:00:00,Malcolm Lacey
"Gottlieb, McClure and Wyman",12/22/2018,2019-01-14 00:00:00,Tara Garcia
Gutmann Inc,8/30/2019,2019-09-17 00:00:00,Vanessa Wilks
Dibbert LLC,1/24/2020,2021-12-09 00:00:00,Mirta Martinez
"McLaughlin, Hoppe and Volkman",9/27/2019,2019-10-05 00:00:00,Judy Thrash
"Lehner, Runolfsson and Schultz",3/15/2019,2021-01-01 00:00:00,Clara Rowden
Blick-Labadie,12/1/2018,2018-12-25 00:00:00,John Zarek
Powlowski-Ryan,6/27/2019,2019-07-20 00:00:00,Iris Hummel
Beahan LLC,4/30/2019,2019-05-29 00:00:00,Mary See
Auer Group,4/9/2020,2020-09-09 00:00:00,Heather Hansen
Von-Kohler,2/1/2019,2019-02-19 00:00:00,Florence Wing
Langworth-Schmidt,9/20/2018,2018-09-30 00:00:00,Eric Berry
Kulas LLC,2/20/2019,2019-03-11 00:00:00,Thomas Wilson
"Welch, Torp and Witting",2/4/2019,2019-02-12 00:00:00,Katie Scott
Waelchi-Stehr,5/26/2020,2020-06-19 00:00:00,Lorna Crisp
"Douglas, Bartoletti and Wiegand",2/26/2020,2020-03-04 00:00:00,Joel Cook
Collins Inc,4/1/2019,2019-04-19 00:00:00,Clarence Christensen
Smith-Boehm,4/2/2019,2019-05-01 00:00:00,Kenneth Miller
Quigley Group,5/27/2019,2019-12-11 00:00:00,Donnie Cannady
"Goodwin, Goyette and Pacocha",6/21/2019,2019-08-09 00:00:00,Henry Unzicker
"Hermiston, Hand and Torphy",8/6/2019,2019-08-29 00:00:00,David Turner
Steuber LLC,9/24/2020,2020-10-19 00:00:00,Elizabeth Wilczynski
Ernser-Kuvalis,7/10/2020,2020-07-19 00:00:00,Kimberly Givens
"Hoppe, Goyette and Heaney",11/22/2019,2019-12-18 00:00:00,Jason Hugle
Swaniawski-Little,8/30/2020,2020-12-09 00:00:00,Michael White
"Senger, Gusikowski and Hintz",4/26/2019,2019-05-25 00:00:00,Verna Rudolph
"Skiles, Kunze and Lakin",2/21/2020,2020-12-03 00:00:00,Brian Walston
Bogan and Sons,9/12/2019,2019-10-10 00:00:00,Iris Brey
"Buckridge, Kozey and Barrows",12/17/2018,2019-01-15 00:00:00,Ryan Crawford
Hirthe LLC,10/23/2019,2019-11-13 00:00:00,Tori Bowen
"Orn, Streich and Carroll",12/8/2018,2018-09-12 00:00:00,Jennifer Carter
Dicki and Sons,2/12/2020,2020-03-08 00:00:00,Patricia Murray
"Hammes, Lind and Skiles",4/17/2019,2019-05-07 00:00:00,Elina Tant
